City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Phan Thiet,VN,83.23,scattered clouds,10.9333,108.1,Hotel Saigon-PT
2,San-Pedro,CI,73.4,few clouds,4.7485,-6.6363,Hotel Maria
3,Lompoc,US,83.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
4,Carnarvon,AU,70.95,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
5,Butaritari,KI,82.06,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
10,Los Llanos De Aridane,ES,71.13,overcast clouds,28.6585,-17.9182,Valle Aridane
11,Rikitea,PF,73.44,light rain,-23.1203,-134.9692,People ThankYou
13,Flin Flon,CA,75.09,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
20,Santa Isabel Do Rio Negro,BR,75.81,overcast clouds,-0.4139,-65.0192,Hotel GSA
24,La Ronge,CA,79.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
28,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
32,Waingapu,ID,80.42,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
35,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.0833,Scoop Guest House
38,Atuona,PF,76.51,light rain,-9.8,-139.0333,Villa Enata
39,Kenai,US,73.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
40,Hasaki,JP,88.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
42,Pandan,PH,85.05,moderate rain,14.0453,124.1694,Bonifacio Lodge
44,Bethel,US,80.96,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
53,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
55,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
56,Pangkalanbuun,ID,76.96,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
57,Scottsbluff,US,77.23,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
71,Sorong,ID,80.98,broken clouds,-0.8833,131.25,Waigo Splash Hotel
72,Jamestown,US,76.59,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Seoul,KR,88.99,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
74,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
78,Dingle,PH,84.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
85,Changde,CN,82.65,clear sky,29.0464,111.6783,Kangshida Hotel
