City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Cape Town,ZA,2022-07-29 00:40:55,-33.9258,18.4232,57.88,84,40,18.41,scattered clouds
1,Phan Thiet,VN,2022-07-29 00:45:45,10.9333,108.1,83.23,74,48,5.73,scattered clouds
2,San-Pedro,CI,2022-07-29 00:45:45,4.7485,-6.6363,73.4,77,24,8.14,few clouds
3,Lompoc,US,2022-07-29 00:40:53,34.6391,-120.4579,83.7,76,0,18.41,clear sky
4,Carnarvon,AU,2022-07-29 00:45:45,-24.8667,113.6333,70.95,59,100,4.12,overcast clouds
5,Butaritari,KI,2022-07-29 00:45:46,3.0707,172.7902,82.06,72,89,15.68,overcast clouds
6,Camacha,PT,2022-07-29 00:45:46,33.0833,-16.3333,67.42,88,40,13.8,scattered clouds
7,Dikson,RU,2022-07-29 00:45:46,73.5069,80.5464,43.9,100,100,17.34,overcast clouds
8,Hobart,AU,2022-07-29 00:41:15,-42.8794,147.3294,46.26,69,20,12.66,few clouds
9,Ilo,PE,2022-07-29 00:45:47,-17.6394,-71.3375,60.17,83,100,7.45,overcast clouds
10,Los Llanos De Aridane,ES,2022-07-29 00:45:47,28.6585,-17.9182,71.13,73,100,18.41,overcast clouds
11,Rikitea,PF,2022-07-29 00:45:47,-23.1203,-134.9692,73.44,75,8,20.76,light rain
12,Port-Cartier,CA,2022-07-29 00:45:47,50.0334,-66.8654,59.76,95,100,9.55,overcast clouds
13,Flin Flon,CA,2022-07-29 00:41:54,54.7682,-101.865,75.09,37,99,4.36,overcast clouds
14,Port Lincoln,AU,2022-07-29 00:41:58,-34.7333,135.8667,55.6,78,100,15.21,overcast clouds
15,Mataura,NZ,2022-07-29 00:45:48,-46.1927,168.8643,47.48,83,100,4.27,overcast clouds
16,Andenes,NO,2022-07-29 00:45:48,69.3143,16.1194,49.98,81,100,8.05,overcast clouds
17,Qaanaaq,GL,2022-07-29 00:45:48,77.484,-69.3632,39.78,71,24,2.06,few clouds
18,Ilulissat,GL,2022-07-29 00:45:49,69.2167,-51.1,53.62,43,40,11.5,scattered clouds
19,Namibe,AO,2022-07-29 00:45:49,-15.1961,12.1522,59.99,84,60,6.91,broken clouds
20,Santa Isabel Do Rio Negro,BR,2022-07-29 00:45:49,-0.4139,-65.0192,75.81,86,98,3.27,overcast clouds
21,Saskylakh,RU,2022-07-29 00:45:49,71.9167,114.0833,60.66,88,100,5.17,overcast clouds
22,Esperance,AU,2022-07-29 00:45:50,-33.8667,121.9,61.07,77,100,14.85,overcast clouds
23,Severo-Kurilsk,RU,2022-07-29 00:45:50,50.6789,156.125,55.65,88,100,9.53,overcast clouds
24,La Ronge,CA,2022-07-29 00:45:50,55.1001,-105.2842,79.05,31,75,8.05,broken clouds
25,Hermanus,ZA,2022-07-29 00:45:50,-34.4187,19.2345,59.81,78,100,20.24,overcast clouds
26,Rudnya,RU,2022-07-29 00:45:51,54.947,31.0934,51.57,93,5,6.29,clear sky
27,Port Alfred,ZA,2022-07-29 00:45:36,-33.5906,26.891,69.19,56,0,3.0,clear sky
28,Vaini,TO,2022-07-29 00:45:51,-21.2,-175.2,80.76,89,40,11.5,scattered clouds
